,role_or_degree,education_code
1012,"vocational certificate, english language proficiency",3199
1013,"bachelor of science in electronics engineering - shifted, electrical, electronics and communications engineering",1294
1014,"bachelor of science in computer engineering , computer engineering",1246
1016,"bachelor of science, mechanical engineering",1490
1017,"psychology, psychology",3088
1018,bachelor of science in accounting management,1112
1021,"post-graduate diploma in power electronics, electrical and electronics engineering",3051
1022,"bachelor of science (b.s.), electronics engineering",756
1023,"bachelor of science - bs, business administration major in marketing management",972
1024,chemical engineering,2271
1029,"high school diploma, special science curriculum",2535
1030,"master of science - ms, statistics",2842
1031,"bachelor’s degree, mathematics and statistics",1850
1034,"bachelor of arts - ba, aviation logistics",474
1035,"bachelor of arts - ba, applied psychology",473
1036,"bachelor of science in computer studies major in computer science, computer and information sciences and support services ",1273
1038,"senior high school, general academic strand",3139
1039,"bachelor of business administration (bba), accounting and business/management",571
1041,"bs accountancy, finance and accounting",1907
1043,"computer engineering, computer engineering",2303
1044,"bachelor of science in accountancy, accounting and business/management",1105
1045,"bsba major in marketing management, marketing",2138
1046,"bs business administration major in marketing management, business, management, marketing, and related support services",1928
1047,"bscs- computer science, computer science",2173
1049,"bachelor's degree, electronics engineering",1644
1050,"master’s degree, business administration and management, general",2945
1051,"bachelor’s degree, organizational communication, general",1858
1053,b.a. behavioral sciences (cum laude),288
1054,"bsba, financial management",2147
1056,"bachelor of science (bs), business/commerce, general",852
1057,"bs accountancy, business/commerce, general",1905
1060,"bachelor of engineering - be, mechanical engineering",684
1061,"bachelor of business administration - bba, logistics and supply chain management",608
1062,"bachelor of science - bs, petroleum engineering",1062
1064,"bachelor of science in business administration major in business management, business administration, management and operations",1149
1066,1987 - 1998,23
1067,"logistics operations and supply chain management, logistics, materials, and supply chain management",2658
1068,"customs administration, bachelor of science in customs administration",2331
1069,"broadcasting, mass communications",1894
1073,"bachelor of science - bs in accountancy, accounting and finance",939
1074,"food and beverage services, hospitality administration/management",2478
1075,"bachelor in public administration and governance, public administration and governance",388
1077,"bachelor or business administration, business/managerial economics",1514
1079,"bachelor of science (bs), electronics and communications engineering",868
1080,"master of science (m.s.), marketing",2824
1081,"bachelor of science (bs) in business administration, marketing",818
1083,"bachelor of science - bs, instrumentation and control engineering ",1037
1084,"bachelor of science in computer science, computer and information sciences and support services",1258
1086,"senior high school, science, technology, engineering, and mathematics (stem)",3142
