,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
5456,8567,deputy film lead,2897,,,
5457,8568,creative solutions project manager - film,2360,,,
5458,8569,associate storyteller,936,,,
5459,8570,director and story producer,3038,,,
5460,8571,executive producer,3446,Media and Publishing,Post Production Services,1300000.0
5461,8572,creative director and executive producer,2355,,,
5462,8573,"director, writer, and editor",3091,,,
5463,8576,electrical specialist,3214,,,
5464,8577,electrical engineer,3205,Manufacturing,"Power, Distribution, and Specialty Transformer Manufacturing",1200000.0
5465,8578,electrical tfa,3216,,,
5466,8579,electrical field engineer,3210,,,
5467,8581,pov area engineer,7421,,,
5468,8582,electrical supervisor / inspector,3215,,,
5469,8583,electrical inspector,3211,Energy and Utilities,Electric Power Distribution,307300.0
5470,8585,electrical project engineer,3213,,,
5471,8588,human resource senior assistant,4902,,,
5472,8590,"learning advisor, onboarding & leadership programmes, learning solutions & delivery",6065,,,
5473,8591,"pmo, global operational excellence, integrated resourcing",7393,,,
5474,8592,"global channels and projects advisor, employer brand and talent attraction",3917,,,
5475,8593,marketing supervisor- talent market strategy and solutions,6539,,,
5476,8594,marketing lead- employer brand and talent attraction,6508,,,
5477,8595,senior specialist- recruitment marketing & communications,9985,,,
5478,8596,"content writer, web & digital marketing (project-based)",2128,,,
5479,8597,"associate, marketing & public relations ",962,,,
5480,8598,academic research writer,38,,,
5481,8599,"sales specialist, customer service",8938,,,
5482,8600,customer master data - sr process specialist,2534,,,
5483,8601,customer master data - process specialist,2533,,,
5484,8602,customer master data sr analyst - global,2537,,,
5485,8603,customer master data analyst - australia,2535,,,
5486,8604,data analyst - employee insurance eligibility,2713,,,
5487,8605,"hr advisor, projects & technology and global functions - us operations",4446,,,
5488,8606,human resources service delivery specialist (senior team lead),5018,,,
5489,8607,human resources service delivery senior analyst (junior team lead),5017,,,
5490,8608,human resources service delivery analyst,5015,,,
5491,8609,human resources service delivery associate,5016,,,
5492,8610,customer service new associate,2607,,,
5493,8612,customer success team leader for mobility philippines ,2667,,,
5494,8613,team leader uk,11394,,,
5495,8615,cmd analyst,1859,,,
5496,8620,office administrator,6865,Government,Local Government,966000.0
5497,8623,"team manager, project implementation ",11430,,,
5498,8624,"subject matter expert, project implementation ",10917,,,
5499,8625,stock recording and reconciliation analyst (pipeline and osp),10838,,,
5500,8626,settlements analyst (sales and exchanges) 2009 - 2011,10260,,,
5501,8629,qa specialist,8155,,,
5502,8630,senior data analyst(legacy),9429,,,
5503,8633,hr integrated resourcing - recruitment associate,4592,,,
5504,8634,executive for communications,3437,,,
5505,8635,junior academic officer,5748,,,
5506,8636,crew member,2417,,,
5507,8639,assistant manager for global markets product control,675,,,
5508,8640,hedge fund services senior analyst,4320,,,
5509,8641,hedge fund services analyst,4319,,,
5510,8643,sourcing specialist - americas,10532,,,
5511,8645,talent acquisition executive,11194,,,
5512,8648,"cp procurement specialist, contracting and procurement",2347,,,
5513,8649,"rail analyst, contracting and procurement",8290,,,
5514,8650,"senior associate, accounts payable",9312,,,
5515,8652,proprietor,8086,,,
5516,8653,"intern, accounting operations",5322,,,
5517,8654,"intern, costing center of competence",5326,,,
